2122122,minor,m
2212221,major,M
32232,minor pentatonic,m
22323,major pentatonic,M
321132,minor blues,m
211323,major blues,M
2122212,dorian,m
1222122,phrygian,m
2221221,lydian,M
2212212,mixolydian,M
1221222,locrian,m
2122131,harmonic minor,m
2122221,melodic minor,m
1312122,phrygian dominant,m
1312131,byzantine,M
2131131,hungarian minor,m
12121212,diminished,d
313131,augmented,a
